,theta,signal_vis_15,signal_tir_15,signal_vis_20,signal_tir_20,signal_vis_25,signal_tir_25
99,9.9,9.434775667565381e-14,8.907927897401826e-13,9.434775667565382e-16,8.907927897401827e-15,9.43477566756538e-18,8.907927897401826e-17
100,10.0,9.350526748276577e-14,8.867775442525932e-13,9.350526748276577e-16,8.867775442525932e-15,9.350526748276578e-18,8.867775442525932e-17
101,10.100000000000001,9.26716188112218e-14,8.827523720032128e-13,9.267161881122179e-16,8.827523720032128e-15,9.267161881122179e-18,8.827523720032127e-17
102,10.200000000000001,9.184670857995424e-14,8.787180136346881e-13,9.184670857995421e-16,8.78718013634688e-15,9.184670857995423e-18,8.787180136346881e-17
103,10.3,9.103043645528106e-14,8.746751996798471e-13,9.10304364552803e-16,8.746751996798471e-15,9.103043645528032e-18,8.74675199679847e-17
104,10.4,9.022270378660902e-14,8.706246504376923e-13,9.022270378660975e-16,8.706246504376924e-15,9.022270378660978e-18,8.706246504376924e-17
105,10.5,8.942341354552829e-14,8.665670758594213e-13,8.942341354552828e-16,8.665670758594214e-15,8.942341354552829e-18,8.665670758594213e-17
106,10.600000000000001,8.863247026809497e-14,8.625031754442692e-13,8.863247026809497e-16,8.625031754442694e-15,8.863247026809497e-18,8.625031754442693e-17
107,10.700000000000001,8.784978000015536e-14,8.584336381450228e-13,8.784978000015535e-16,8.58433638145023e-15,8.784978000015536e-18,8.584336381450228e-17
108,10.8,8.707525024550919e-14,8.543591422829475e-13,8.707525024550919e-16,8.543591422829476e-15,8.70752502455092e-18,8.543591422829476e-17
109,10.9,8.630878991677943e-14,8.502803554719878e-13,8.630878991677942e-16,8.502803554719878e-15,8.630878991677943e-18,8.502803554719876e-17
110,11.0,8.555030928883092e-14,8.46197934551983e-13,8.555030928883091e-16,8.461979345519833e-15,8.555030928883092e-18,8.461979345519831e-17
111,11.100000000000001,8.479971995459583e-14,8.421125255307227e-13,8.479971995459582e-16,8.42112525530723e-15,8.479971995459583e-18,8.421125255307228e-17
112,11.200000000000001,8.405693478318371e-14,8.380247635346037e-13,8.405693478318371e-16,8.380247635346039e-15,8.405693478318371e-18,8.380247635346039e-17
113,11.3,8.332186788013271e-14,8.339352727676893e-13,8.332186788013269e-16,8.339352727676895e-15,8.33218678801327e-18,8.339352727676893e-17
114,11.4,8.259443454971337e-14,8.298446664789414e-13,8.259443454971337e-16,8.298446664789415e-15,8.259443454971338e-18,8.298446664789414e-17
115,11.5,8.187455125914201e-14,8.257535469374147e-13,8.187455125914201e-16,8.257535469374147e-15,8.187455125914199e-18,8.257535469374147e-17
116,11.600000000000001,8.116213560462115e-14,8.216625054151717e-13,8.116213560462115e-16,8.216625054151719e-15,8.116213560462115e-18,8.216625054151716e-17
117,11.700000000000001,8.045710627910358e-14,8.175721221777228e-13,8.045710627910423e-16,8.17572122177723e-15,8.045710627910424e-18,8.175721221777227e-17
118,11.8,7.975938304167734e-14,8.134829664817389e-13,7.975938304167735e-16,8.13482966481739e-15,7.975938304167734e-18,8.134829664817389e-17
119,11.9,7.906888668849229e-14,8.093955965798312e-13,7.906888668849228e-16,8.093955965798313e-15,7.906888668849228e-18,8.093955965798313e-17
120,12.0,7.838553902514775e-14,8.053105597321701e-13,7.838553902514773e-16,8.053105597321702e-15,7.838553902514774e-18,8.053105597321701e-17
121,12.100000000000001,7.770926284044405e-14,8.012283922247055e-13,7.770926284044469e-16,8.012283922247057e-15,7.770926284044469e-18,8.012283922247057e-17
